日付,始値,高値,安値,終値
2016年02月,121.327,121.486,110.957,112.676
2016年03月,112.676,114.551,110.663,112.569
2016年04月,112.566,112.581,106.27,106.314
2016年05月,106.319,111.451,105.536,110.707
2016年06月,110.687,110.825,99.848,103.187
2016年07月,103.189,107.487,99.989,102.029
2016年08月,102.14,103.527,99.469,103.416
2016年09月,103.411,104.317,100.077,101.274
2016年10月,101.319,105.529,101.208,104.814
2016年11月,104.817,114.538,101.188,114.454
2016年12月,114.431,118.659,112.839,116.845
2017年01月,116.912,118.606,112.073,112.796
2017年02月,112.793,114.952,111.591,112.758
2017年03月,112.76,115.5,110.106,111.383
2017年04月,111.405,111.776,108.127,111.334
2017年05月,111.363,114.365,110.234,110.771
2017年06月,110.766,112.922,108.818,112.327
2017年07月,112.215,114.49,110.211,110.251
2017年08月,110.251,111.045,108.263,109.968
2017年09月,109.967,113.253,107.314,112.456
2017年10月,112.506,114.446,111.647,113.633
2017年11月,113.633,114.73,110.839,112.533
2017年12月,112.528,113.746,111.4,112.667
2018年01月,112.614,113.382,108.278,109.178
2018年02月,109.184,110.479,105.542,106.672
2018年03月,106.672,107.289,104.638,106.249
2018年04月,106.259,109.534,105.654,109.328
2018年05月,109.326,111.393,108.108,108.811
2018年06月,108.813,110.937,108.718,110.682
2018年07月,110.654,113.174,110.273,111.866
2018年08月,111.865,112.147,109.768,110.999
2018年09月,111.063,113.705,110.375,113.684
2018年10月,113.708,114.545,111.373,112.939
2018年11月,112.938,114.202,112.299,113.412
2018年12月,113.636,113.815,109.552,109.57
2019年01月,109.626,109.995,105.093,108.848
2019年02月,108.848,111.489,108.722,111.375
2019年03月,111.374,112.133,109.7,110.81
2019年04月,110.941,112.397,110.807,111.412
2019年05月,111.394,111.714,108.265,108.265
2019年06月,108.305,108.799,106.773,107.812
2019年07月,108.193,108.999,107.207,108.756
2019年08月,108.75,109.314,104.454,106.098
2019年09月,105.899,108.475,105.734,108.073
2019年10月,108.072,109.279,106.478,108.011
2019年11月,108.016,109.663,107.879,109.368
2019年12月,109.521,109.725,108.424,108.554
2020年01月,108.696,110.284,107.646,108.298
2020年02月,108.376,112.223,107.464,107.585
2020年03月,107.427,111.711,101.17,107.499
2020年04月,107.484,109.377,106.355,107.128
2020年05月,107.128,108.083,105.98,107.755
2020年06月,107.668,109.849,106.064,107.917
2020年07月,107.917,108.159,104.183,105.709
2020年08月,105.806,107.046,105.098,105.896
2020年09月,105.896,106.544,103.996,105.431
2020年10月,105.418,106.103,104.019,104.529
2020年11月,104.464,105.672,103.172,104.206
2020年12月,104.208,104.748,102.872,103.304
2021年01月,103.042,104.935,102.588,104.691
2021年02月,104.743,106.69,104.404,106.53
2021年03月,106.485,110.962,106.361,110.68
2021年04月,110.676,110.843,107.473,109.32
2021年05月,109.289,110.195,108.331,109.553
2021年06月,109.554,111.116,109.186,111.1
2021年07月,111.102,111.653,109.06,109.659
2021年08月,109.726,110.798,108.714,110.002
2021年09月,110.009,112.076,109.107,111.254
2021年10月,111.254,114.694,110.816,114.014
2021年11月,114.061,115.516,112.527,113.152
2021年12月,113.155,115.204,112.554,115.109
2022年01月,114.98,116.342,113.466,115.054
2022年02月,115.049,116.332,114.153,114.974
2022年03月,114.974,125.089,114.645,121.677
2022年04月,121.597,131.245,121.597,129.597
2022年05月,129.855,131.347,126.356,128.54
2022年06月,128.54,136.997,128.54,135.626
2022年07月,135.591,139.391,132.494,133.233
2022年08月,133.214,139.064,130.384,138.958
2022年09月,138.959,145.895,138.759,144.717
2022年10月,144.676,151.941,143.524,148.646
2022年11月,148.493,148.818,137.486,138.01
2022年12月,138.007,138.176,130.565,131.078
2023年01月,131.064,134.773,127.219,130.081
2023年02月,130.05,136.917,128.074,136.114
2023年03月,136.114,137.91,129.634,132.808
2023年04月,133.087,136.555,130.621,136.29
2023年05月,136.185,140.93,133.493,139.318
2023年06月,139.336,145.068,138.38,144.272
2023年07月,144.289,144.907,137.242,142.274
2023年08月,142.288,147.372,141.507,145.533
2023年09月,145.53,149.704,144.438,149.358
2023年10月,149.431,151.72,147.346,151.574
2023年11月,151.574,151.907,146.657,148.193
2023年12月,148.193,148.34,140.243,141.006
2024年01月,140.842,148.807,140.799,146.892
2024年02月,146.891,150.88,145.886,149.974
2024年03月,149.941,151.971,146.48,151.329
2024年04月,151.257,160.211,150.806,157.797
2024年05月,157.665,157.984,153.024,153.561
